"#","Invoice No.","Invoice Date","Currency","Total Invoice Amount","Bill To Customer Code","Bill To Customer Name","Bill To ID.","Finance Book","Status","Shipping Point"
1,"FIN02-JHRPKD-0053","2017-07-26","RM",42944.76,"JHR-K-JBH","PKD  Johor Bahru","1","QMSPFB","Shipped","QMSHQ           "
2,"FIN02A-JHRPKD-0034","2017-07-19","RM",3929.98,"JHR-K-KLG","PKD  Kluang","1","QMSPFB","Shipped","QMSHQ           "
3,"FIN02-JHRPKD-0054","2017-07-27","RM",24375.91,"JHR-K-KLG","PKD  Kluang","1","QMSPFB","Shipped","QMSHQ           "
4,"FIN02-JHRPKD-0051","2017-07-19","RM",31621.53,"JHR-K-KTG","PKD  Kota Tinggi","1","QMSPFB","Shipped","QMSHQ           "
5,"FIN01-JHRPKD-0011","2017-07-26","RM",12515.00,"JHR-K-LDG","PKD  Ledang","1","QMSPFB","Shipped","QMSHQ           "
6,"FIN02A-JHRPKD-0035","2017-07-26","RM",1169.98,"JHR-K-LDG","PKD  Ledang","1","QMSPFB","Shipped","QMSHQ           "
7,"FIN02A-JHRPKD-0036","2017-07-26","RM",1265.04,"JHR-K-LDG","PKD  Ledang","1","QMSPFB","Shipped","QMSHQ           "
8,"FIN02-JHRPKD-0052","2017-07-19","RM",23093.77,"JHR-K-PON","PKD  Pontian","1","QMSPFB","Shipped","QMSHQ           "
9,"FIN02-JHRPPD-0052","2017-07-27","RM",36562.23,"JHR-P-KLG","PPD  Kluang","1","QMSPFB","Shipped","QMSHQ           "
10,"FIN02-JHRPPD-0051","2017-07-25","RM",16588.22,"JHR-P-KTG","PPD  Kota Tinggi","1","QMSPFB","Shipped","QMSHQ           "
11,"FIN01-JHRPPD-007","2017-07-26","RM",10360.00,"JHR-P-MUR","PPD  Muar","1","QMSPFB","Shipped","QMSHQ           "
12,"FIN02A-JHRPPD-0017","2017-07-26","RM",64.96,"JHR-P-MUR","PPD  Muar","1","QMSPFB","Shipped","QMSHQ           "
13,"FIN02A-JHRPPD-0018","2017-07-26","RM",64.96,"JHR-P-MUR","PPD  Muar","1","QMSPFB","Shipped","QMSHQ           "
14,"FIN02-JHRPPD-0050","2017-07-19","RM",22043.41,"JHR-P-PON","PPD  Pontian","1","QMSPFB","Shipped","QMSHQ           "
15,"FIN02-MLKPKD-0016","2017-07-20","RM",23674.43,"MLK-K-AGH","PKD  Alor Gajah","1","QMSPFB","Shipped","QMSHQ           "
16,"FIN01-MLKPKD-0006","2017-07-27","RM",143996.00,"MLK-K-MTH","PKD  Melaka Tengah","1","QMSPFB","Shipped","QMSHQ           "
17,"FIN01-MLK-PKD-0007","2017-07-27","RM",78037.20,"MLK-K-MTH","PKD  Melaka Tengah","1","QMSPFB","Shipped","QMSHQ           "
18,"FIN02A-MLKPKD-0017","2017-07-27","RM",10490.70,"MLK-K-MTH","PKD  Melaka Tengah","1","QMSPFB","Shipped","QMSHQ           "
19,"FIN02A-MLKPKD-0018","2017-07-27","RM",18443.40,"MLK-K-MTH","PKD  Melaka Tengah","1","QMSPFB","Shipped","QMSHQ           "
20,"FIN02-MLKPKD-0017","2017-07-27","RM",40861.61,"MLK-K-MTH","PKD  Melaka Tengah","1","QMSPFB","Shipped","QMSHQ           "
21,"FIN02A-MLKPPD-0016","2017-07-20","RM",941.91,"MLK-P-AGH","PPD  Alor Gajah","1","QMSPFB","Shipped","QMSHQ           "
22,"FIN02-MLKPPD-0017","2017-07-20","RM",21218.22,"MLK-P-AGH","PPD  Alor Gajah","1","QMSPFB","Shipped","QMSHQ           "
23,"FIN02-NSBPKD-0037","2017-07-28","RM",23270.87,"NSB-K-JPL","PKD  Jempol","1","QMSPFB","Shipped","QMSHQ           "
24,"FIN02-NSBPKD-0038","2017-07-28","RM",26299.89,"NSB-K-KPH","PKD  Kuala Pilah","1","QMSPFB","Shipped","QMSHQ           "
25,"FIN02-NSBPKD-0039","2017-07-28","RM",17344.83,"NSB-K-PDN","PKD  Port Dickson","1","QMSPFB","Shipped","QMSHQ           "
26,"FIN02-NSBPKD-0040","2017-07-28","RM",7735.18,"NSB-K-RBU","PKD  Rembau","1","QMSPFB","Shipped","QMSHQ           "
27,"FIN02-NSBPKD-0036","2017-07-25","RM",49222.63,"NSB-K-SBN","PKD  Seremban","1","QMSPFB","Shipped","QMSHQ           "
28,"FIN02-NSBPKD-0041","2017-07-28","RM",21963.74,"NSB-K-TPN","PKD  Tampin","1","QMSPFB","Shipped","QMSHQ           "
29,"FIN02-NSBPPD-0036","2017-07-19","RM",15418.28,"NSB-P-JLB","PPD  Jelebu","1","QMSPFB","Shipped","QMSHQ           "
30,"FIN01-NSBPPD-0009","2017-07-20","RM",8416.40,"NSB-P-JLB","PPD  Jelebu","1","QMSPFB","Shipped","QMSHQ           "
31,"FIN02A-NSBPPD-0033","2017-07-20","RM",1473.74,"NSB-P-JLB","PPD  Jelebu","1","QMSPFB","Shipped","QMSHQ           "
32,"FIN02-NSBPPD-0042","2017-07-28","RM",23476.37,"NSB-P-JPL","PPD  Jempol","1","QMSPFB","Shipped","QMSHQ           "
33,"FIN02-NSBPPD-0038","2017-07-28","RM",29579.61,"NSB-P-KPH","PPD  Kuala Pilah","1","QMSPFB","Shipped","QMSHQ           "
34,"FIN02-NSBPPD-0039","2017-07-28","RM",30119.90,"NSB-P-PDN","PPD  Port Dickson","1","QMSPFB","Shipped","QMSHQ           "
35,"FIN02-NSBPPD-0040","2017-07-28","RM",16088.08,"NSB-P-RBU","PPD  Rembau","1","QMSPFB","Shipped","QMSHQ           "
36,"FIN01-NSBPPD-0010","2017-07-25","RM",5702.80,"NSB-P-SBN","PPD  Seremban","1","QMSPFB","Shipped","QMSHQ           "
37,"FIN02A-NSBPPD-0034","2017-07-25","RM",13220.67,"NSB-P-SBN","PPD  Seremban","1","QMSPFB","Shipped","QMSHQ           "
38,"FIN02-NSBPPD-0037","2017-07-25","RM",69902.25,"NSB-P-SBN","PPD  Seremban","1","QMSPFB","Shipped","QMSHQ           "
39,"FIN01-NSBPPD-011","2017-07-28","RM",15428.00,"NSB-P-TPN","PPD  Tampin","1","QMSPFB","Shipped","QMSHQ           "
40,"FIN02-NSBPPD-0041","2017-07-28","RM",34392.24,"NSB-P-TPN","PPD  Tampin","1","QMSPFB","Shipped","QMSHQ           "
41,"fin02pngpkd-0023.","2017-07-20","RM",31460.17,"PNG-K-TLT","PKD  Timur Laut","1","QMSPFB","Fresh","QMSHQ           "
42,"FIN02PNGPKD-0024.","2017-07-20","RM",31460.17,"PNG-K-TLT","PKD  Timur Laut","1","QMSPFB","Fresh","QMSHQ           "
43,"FIN02PNGPPD-0027.","2017-07-28","RM",65307.91,"PNG-P-SPS","PPD  Seberang Perai Selatan","1","QMSPFB","Fresh","QMSHQ           "
44,"FIN02APNGPPD-0019","2017-07-21","RM",2386.63,"PNG-P-SPT","PPD  Seberang Perai Tengah","1","QMSPFB","Fresh","QMSHQ           "
45,"FIN02PNGPPD-0026.","2017-07-21","RM",33426.49,"PNG-P-SPT","PPD  Seberang Perai Tengah","1","QMSPFB","Fresh","QMSHQ           "
46,"FIN02APNGPPD-0021","2017-07-28","RM",3946.24,"PNG-P-SPU","PPD  Seberang Perai Utara","1","QMSPFB","Fresh","QMSHQ           "
47,"FIN02APNGPPD-0017","2017-07-19","RM",7460.24,"PNG-P-TLT","PPD  Timur Laut","1","QMSPFB","Fresh","QMSHQ           "
48,"FIN02APNGPPD-0018","2017-07-19","RM",7460.24,"PNG-P-TLT","PPD  Timur Laut","1","QMSPFB","Fresh","QMSHQ           "
49,"FIN02PNGPPD-0025.","2017-07-19","RM",59316.21,"PNG-P-TLT","PPD  Timur Laut","1","QMSPFB","Fresh","QMSHQ           "
50,"FIN02APNGPPD-0020","2017-07-28","RM",10481.30,"PNG-P-TLT","PPD  Timur Laut","1","QMSPFB","Fresh","QMSHQ           "
51,"FIN02APRKPKD-0033","2017-07-24","RM",3702.73,"PRK-K-BPG","PKD  Batang Padang","1","QMSPFB","Fresh","QMSHQ           "
52,"FIN02APRKPKD-0032","2017-07-28","RM",2882.75,"PRK-K-BPG","PKD  Batang Padang","1","QMSPFB","Fresh","QMSHQ           "
53,"FIN02PRKPKD-0050.","2017-07-28","RM",17200.05,"PRK-K-BPG","PKD  Batang Padang","1","QMSPFB","Fresh","QMSHQ           "
54,"fFIN02PRKPKD-0045","2017-07-21","RM",53359.81,"PRK-K-KNA","PKD  Kinta","1","QMSPFB","Fresh","QMSHQ           "
55,"FIN02APRKPKD-0038","2017-07-28","RM",13798.40,"PRK-K-KNA","PKD  Kinta","1","QMSPFB","Fresh","QMSHQ           "
56,"FIN02APRKPKD-0036","2017-07-28","RM",1790.91,"PRK-K-KPR","PKD  Kampar","1","QMSPFB","Fresh","QMSHQ           "
57,"FIN02APRKPKD-0037","2017-07-28","RM",2289.66,"PRK-K-KPR","PKD  Kampar","1","QMSPFB","Fresh","QMSHQ           "
58,"FIN02PRKPKD-0051.","2017-07-28","RM",12640.62,"PRK-K-KPR","PKD  Kampar","1","QMSPFB","Fresh","QMSHQ           "
