BE Number,Status,Date,PWO,
NSB005802,BER,2017-08-01,PWO237711,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB005802' ,'PWO237711' , 'BER' , 'NSB005802' , '2017-08-01','No'"
NSB005813,BER,2017-08-01,PWO237925,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB005813' ,'PWO237925' , 'BER' , 'NSB005813' , '2017-08-01','No'"
NSB005812,BER,2017-08-01,PWO237684,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB005812' ,'PWO237684' , 'BER' , 'NSB005812' , '2017-08-01','No'"
NSB006914,BER,2017-08-01,PWO238139,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006914' ,'PWO238139' , 'BER' , 'NSB006914' , '2017-08-01','No'"
NSB009563,BER,2017-08-01,PWO238197,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB009563' ,'PWO238197' , 'BER' , 'NSB009563' , '2017-08-01','No'"
NSB004962,BER,2017-08-01,PWO238054,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB004962' ,'PWO238054' , 'BER' , 'NSB004962' , '2017-08-01','No'"
NSB007040,BER,2017-08-01,PWO237875,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB007040' ,'PWO237875' , 'BER' , 'NSB007040' , '2017-08-01','No'"
NSB007047,BER,2017-08-01,PWO237968,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB007047' ,'PWO237968' , 'BER' , 'NSB007047' , '2017-08-01','No'"
NSB006564,BER,2017-08-01,PWO237953,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006564' ,'PWO237953' , 'BER' , 'NSB006564' , '2017-08-01','No'"
NSB008111,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB008111' ,'' , 'BER' , 'NSB008111' , '2017-08-01','No'"
NSB003723,BER,2017-08-01,PWO241092,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB003723' ,'PWO241092' , 'BER' , 'NSB003723' , '2017-08-01','No'"
NSB002101,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB002101' ,'' , 'BER' , 'NSB002101' , '2017-08-01','No'"
NSB001753,BER,2017-08-01,PWO293137,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB001753' ,'PWO293137' , 'BER' , 'NSB001753' , '2017-08-01','No'"
NSB001042,BER,2017-08-01,PWO241634,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB001042' ,'PWO241634' , 'BER' , 'NSB001042' , '2017-08-01','No'"
NSB002491,BER,2017-08-01,PWO241417,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB002491' ,'PWO241417' , 'BER' , 'NSB002491' , '2017-08-01','No'"
NSB004490,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB004490' ,'' , 'BER' , 'NSB004490' , '2017-08-01','No'"
NSB005491,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB005491' ,'' , 'BER' , 'NSB005491' , '2017-08-01','No'"
NSB005276,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB005276' ,'' , 'BER' , 'NSB005276' , '2017-08-01','No'"
NSB005736,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB005736' ,'' , 'BER' , 'NSB005736' , '2017-08-01','No'"
NSB005663,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB005663' ,'' , 'BER' , 'NSB005663' , '2017-08-01','No'"
NSB002860,BER,2017-08-01,PWO239119,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB002860' ,'PWO239119' , 'BER' , 'NSB002860' , '2017-08-01','No'"
NSB009297,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB009297' ,'' , 'BER' , 'NSB009297' , '2017-08-01','No'"
SLR007987,BER,2017-08-01,PWO287274,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SLR007987' ,'PWO287274' , 'BER' , 'SLR007987' , '2017-08-01','No'"
SLR008941,BER,2017-08-01,PWO287667,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SLR008941' ,'PWO287667' , 'BER' , 'SLR008941' , '2017-08-01','No'"
SLR008949,BER,2017-08-01,PWO287829,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SLR008949' ,'PWO287829' , 'BER' , 'SLR008949' , '2017-08-01','No'"
WKL001315,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL001315' ,'' , 'BER' , 'WKL001315' , '2017-08-01','No'"
WKL001316,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL001316' ,'' , 'BER' , 'WKL001316' , '2017-08-01','No'"
WKL001317,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL001317' ,'' , 'BER' , 'WKL001317' , '2017-08-01','No'"
WKL001318,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL001318' ,'' , 'BER' , 'WKL001318' , '2017-08-01','No'"
WKL001319,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL001319' ,'' , 'BER' , 'WKL001319' , '2017-08-01','No'"
WKL001320,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL001320' ,'' , 'BER' , 'WKL001320' , '2017-08-01','No'"
WKL001321,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL001321' ,'' , 'BER' , 'WKL001321' , '2017-08-01','No'"
WKL001301,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL001301' ,'' , 'BER' , 'WKL001301' , '2017-08-01','No'"
WKL000897,BER,2017-08-01,PWO232085,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL000897' ,'PWO232085' , 'BER' , 'WKL000897' , '2017-08-01','No'"
WKL023071,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL023071' ,'' , 'BER' , 'WKL023071' , '2017-08-01','No'"
WKL000058,BER,2017-08-01,PWO232035,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL000058' ,'PWO232035' , 'BER' , 'WKL000058' , '2017-08-01','No'"
WKL000109,BER,2017-08-01,PWO231970,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL000109' ,'PWO231970' , 'BER' , 'WKL000109' , '2017-08-01','No'"
WKL000111,BER,2017-08-01,PWO232112,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL000111' ,'PWO232112' , 'BER' , 'WKL000111' , '2017-08-01','No'"
WKL000132,BER,2017-08-01,PWO232681,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL000132' ,'PWO232681' , 'BER' , 'WKL000132' , '2017-08-01','No'"
WKL000134,BER,2017-08-01,PWO231621,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL000134' ,'PWO231621' , 'BER' , 'WKL000134' , '2017-08-01','No'"
WKL004088,BER,2017-08-01,PWO233333,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL004088' ,'PWO233333' , 'BER' , 'WKL004088' , '2017-08-01','No'"
WKL004109,BER,2017-08-01,PWO232343,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL004109' ,'PWO232343' , 'BER' , 'WKL004109' , '2017-08-01','No'"
WKL004127,BER,2017-08-01,PWO231253,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL004127' ,'PWO231253' , 'BER' , 'WKL004127' , '2017-08-01','No'"
WKL004128,BER,2017-08-01,PWO231177,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL004128' ,'PWO231177' , 'BER' , 'WKL004128' , '2017-08-01','No'"
WKL020182,BER,2017-08-01,PWO231725,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL020182' ,'PWO231725' , 'BER' , 'WKL020182' , '2017-08-01','No'"
WKL023184,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'WKL023184' ,'' , 'BER' , 'WKL023184' , '2017-08-01','No'"
