BE Number,Status,Date,PWO,
SWK006249,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK006249' ,'' , 'BER' , 'SWK006249' , '2017-08-01','No'"
SWK013839,BER,2017-08-01,PWO272708,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK013839' ,'PWO272708' , 'BER' , 'SWK013839' , '2017-08-01','No'"
PRK013080,BER,2017-08-01,PWO259383,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK013080' ,'PWO259383' , 'BER' , 'PRK013080' , '2017-08-01','No'"
PRK004884,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK004884' ,'' , 'BER' , 'PRK004884' , '2017-08-01','No'"
PRK013533,BER,2017-08-01,PWO251872,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK013533' ,'PWO251872' , 'BER' , 'PRK013533' , '2017-08-01','No'"
PRK013521,BER,2017-08-01,PWO251746,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK013521' ,'PWO251746' , 'BER' , 'PRK013521' , '2017-08-01','No'"
PRK012094,BER,2017-08-01,PWO251853,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK012094' ,'PWO251853' , 'BER' , 'PRK012094' , '2017-08-01','No'"
PRK012070,BER,2017-08-01,PWO251651,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK012070' ,'PWO251651' , 'BER' , 'PRK012070' , '2017-08-01','No'"
PRK012074,BER,2017-08-01,PWO251786,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK012074' ,'PWO251786' , 'BER' , 'PRK012074' , '2017-08-01','No'"
PRK012047,BER,2017-08-01,PWO251284,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK012047' ,'PWO251284' , 'BER' , 'PRK012047' , '2017-08-01','No'"
PRK006086,BER,2017-08-01,PWO257569,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK006086' ,'PWO257569' , 'BER' , 'PRK006086' , '2017-08-01','No'"
PRK007423,BER,2017-08-01,PWO257540,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK007423' ,'PWO257540' , 'BER' , 'PRK007423' , '2017-08-01','No'"
PRK006006,BER,2017-08-01,PWO257824,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK006006' ,'PWO257824' , 'BER' , 'PRK006006' , '2017-08-01','No'"
PRK006095,BER,2017-08-01,PWO258417,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK006095' ,'PWO258417' , 'BER' , 'PRK006095' , '2017-08-01','No'"
PRK006332,BER,2017-08-01,PWO256251,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK006332' ,'PWO256251' , 'BER' , 'PRK006332' , '2017-08-01','No'"
PRK011467,BER,2017-08-01,PWO294175,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK011467' ,'PWO294175' , 'BER' , 'PRK011467' , '2017-08-01','No'"
JHR002491,BER,2017-08-01,PWO278896,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR002491' ,'PWO278896' , 'BER' , 'JHR002491' , '2017-08-01','No'"
JHR012370,BER,2017-08-01,PWO281244,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012370' ,'PWO281244' , 'BER' , 'JHR012370' , '2017-08-01','No'"
JHR012371,BER,2017-08-01,PWO280452,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012371' ,'PWO280452' , 'BER' , 'JHR012371' , '2017-08-01','No'"
JHR012372,BER,2017-08-01,PWO281729,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012372' ,'PWO281729' , 'BER' , 'JHR012372' , '2017-08-01','No'"
JHR012373,BER,2017-08-01,PWO281389,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012373' ,'PWO281389' , 'BER' , 'JHR012373' , '2017-08-01','No'"
JHR012375,BER,2017-08-01,PWO281183,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012375' ,'PWO281183' , 'BER' , 'JHR012375' , '2017-08-01','No'"
JHR012376,BER,2017-08-01,PWO280488,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012376' ,'PWO280488' , 'BER' , 'JHR012376' , '2017-08-01','No'"
JHR012377,BER,2017-08-01,PWO281552,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012377' ,'PWO281552' , 'BER' , 'JHR012377' , '2017-08-01','No'"
JHR012378,BER,2017-08-01,PWO284253,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012378' ,'PWO284253' , 'BER' , 'JHR012378' , '2017-08-01','No'"
JHR012178,BER,2017-08-01,PWO280060,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012178' ,'PWO280060' , 'BER' , 'JHR012178' , '2017-08-01','No'"
JHR012310,BER,2017-08-01,PWO281202,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012310' ,'PWO281202' , 'BER' , 'JHR012310' , '2017-08-01','No'"
JHR012314,BER,2017-08-01,PWO281081,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012314' ,'PWO281081' , 'BER' , 'JHR012314' , '2017-08-01','No'"
JHR012330,BER,2017-08-01,PWO281114,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012330' ,'PWO281114' , 'BER' , 'JHR012330' , '2017-08-01','No'"
JHR012335,BER,2017-08-01,PWO284040,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012335' ,'PWO284040' , 'BER' , 'JHR012335' , '2017-08-01','No'"
JHR012364,BER,2017-08-01,PWO281388,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012364' ,'PWO281388' , 'BER' , 'JHR012364' , '2017-08-01','No'"
JHR012475,BER,2017-08-01,PWO281092,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012475' ,'PWO281092' , 'BER' , 'JHR012475' , '2017-08-01','No'"
JHR003168,BER,2017-08-01,PWO284091,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR003168' ,'PWO284091' , 'BER' , 'JHR003168' , '2017-08-01','No'"
JHR011136,BER,2017-08-01,PWO282617,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR011136' ,'PWO282617' , 'BER' , 'JHR011136' , '2017-08-01','No'"
JHR008951,BER,2017-08-01,PWO278004,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR008951' ,'PWO278004' , 'BER' , 'JHR008951' , '2017-08-01','No'"
JHR009365,BER,2017-08-01,PWO281891,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR009365' ,'PWO281891' , 'BER' , 'JHR009365' , '2017-08-01','No'"
JHR014595,BER,2017-08-01,PWO278492,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR014595' ,'PWO278492' , 'BER' , 'JHR014595' , '2017-08-01','No'"
JHR008010,BER,2017-08-01,PWO278378,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR008010' ,'PWO278378' , 'BER' , 'JHR008010' , '2017-08-01','No'"
JHR014008,BER,2017-08-01,PWO279052,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR014008' ,'PWO279052' , 'BER' , 'JHR014008' , '2017-08-01','No'"
JHR008029,BER,2017-08-01,PWO278655,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR008029' ,'PWO278655' , 'BER' , 'JHR008029' , '2017-08-01','No'"
JHR009144,BER,2017-08-01,PWO278779,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR009144' ,'PWO278779' , 'BER' , 'JHR009144' , '2017-08-01','No'"
